experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	DNase-seq	ENCSR330JXM	['ENCFF936OKC', 'ENCFF504HOK', 'ENCFF913KDZ', 'ENCFF363WEB']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF966AQE']	['https://www.encodeproject.org/files/ENCFF966AQE/@@download/ENCFF966AQE.bed.gz']	['42a733a3828c6eb16afb23856ea28b7b']	[{}]	['ENCFF499GCS']	['https://www.encodeproject.org/files/ENCFF499GCS/@@download/ENCFF499GCS.bam']	['6319d53220c9f6aad673e450b4108964']	[{}]	['ENCFF424NSY']	['https://www.encodeproject.org/files/ENCFF424NSY/@@download/ENCFF424NSY.bam']	['cbeee97c9f59cfd91f77645f42efaacc']	[{}]
NNNN	DNase-seq	ENCSR049SVH	['ENCFF622RDP', 'ENCFF253KWF', 'ENCFF972VLO', 'ENCFF606XSD']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF844CAH']	['https://www.encodeproject.org/files/ENCFF844CAH/@@download/ENCFF844CAH.bed.gz']	['bb4d7bec48b16073a8fdb7fa41b6efe6']	[{}]	['ENCFF594ZYT']	['https://www.encodeproject.org/files/ENCFF594ZYT/@@download/ENCFF594ZYT.bam']	['b6df79ae5b44cf025c16f849fdef8428']	[{}]	['ENCFF786YZF']	['https://www.encodeproject.org/files/ENCFF786YZF/@@download/ENCFF786YZF.bam']	['5211d1806404396d69daeaaec8a8fa1e']	[{}]
NNNN	DNase-seq	ENCSR818HHN	['ENCFF142KHR', 'ENCFF288RRL', 'ENCFF798LMV', 'ENCFF203LIZ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF669XGP']	['https://www.encodeproject.org/files/ENCFF669XGP/@@download/ENCFF669XGP.bed.gz']	['647e1d598cc5257215051755b6e98a38']	[{}]	['ENCFF426FCA']	['https://www.encodeproject.org/files/ENCFF426FCA/@@download/ENCFF426FCA.bam']	['61451938f11a0bd3f6a5e3cf15c22c70']	[{}]	['ENCFF039RUP']	['https://www.encodeproject.org/files/ENCFF039RUP/@@download/ENCFF039RUP.bam']	['fbd64335630ee657c2667faff1cdc80f']	[{}]
NNNN	DNase-seq	ENCSR889ONK	['ENCFF788KWC', 'ENCFF420LGS', 'ENCFF368NRN', 'ENCFF537JUL']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF341BQT']	['https://www.encodeproject.org/files/ENCFF341BQT/@@download/ENCFF341BQT.bed.gz']	['d58e44e9122cfec45c88fcb3c2f5020a']	[{}]	['ENCFF934WTS']	['https://www.encodeproject.org/files/ENCFF934WTS/@@download/ENCFF934WTS.bam']	['d087e33b78d8581d4cca4d904f3fedfa']	[{}]	['ENCFF867MZF']	['https://www.encodeproject.org/files/ENCFF867MZF/@@download/ENCFF867MZF.bam']	['a7a8e08660cbbb6f67657f936e60068d']	[{}]
NNNN	DNase-seq	ENCSR572HUG	['ENCFF841SSA', 'ENCFF560VHU', 'ENCFF923FYC', 'ENCFF149LEG']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF780OYV']	['https://www.encodeproject.org/files/ENCFF780OYV/@@download/ENCFF780OYV.bed.gz']	['38dcc4c40fe275e7c7483170b8338d67']	[{}]	['ENCFF659JOC']	['https://www.encodeproject.org/files/ENCFF659JOC/@@download/ENCFF659JOC.bam']	['2603d206d5f7d4a036ad7504d2813c64']	[{}]	['ENCFF809IED']	['https://www.encodeproject.org/files/ENCFF809IED/@@download/ENCFF809IED.bam']	['c03108efc36b5ffaad7cc4fc23c29a13']	[{}]
NNNN	DNase-seq	ENCSR114XWV	['ENCFF490FHB', 'ENCFF023DSA', 'ENCFF456ZCS', 'ENCFF451DOS']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF676QIM']	['https://www.encodeproject.org/files/ENCFF676QIM/@@download/ENCFF676QIM.bed.gz']	['7ce8ad0039b0066f6c6a713ed3e45335']	[{}]	['ENCFF397QBI']	['https://www.encodeproject.org/files/ENCFF397QBI/@@download/ENCFF397QBI.bam']	['db75e2c6fc167f70a9a850ac56793028']	[{}]	['ENCFF919QTJ']	['https://www.encodeproject.org/files/ENCFF919QTJ/@@download/ENCFF919QTJ.bam']	['0d551b64012a8820127cf2b837e9f621']	[{}]
NNNN	DNase-seq	ENCSR059ETS	['ENCFF792GBS', 'ENCFF970JNT', 'ENCFF700LEG', 'ENCFF469QJN']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF124CVB']	['https://www.encodeproject.org/files/ENCFF124CVB/@@download/ENCFF124CVB.bed.gz']	['b148d107ee9b1521147cd1f0b7cff41f']	[{}]	['ENCFF921WSA']	['https://www.encodeproject.org/files/ENCFF921WSA/@@download/ENCFF921WSA.bam']	['e51e11f9680721f51560e7d47e282b64']	[{}]	['ENCFF089JHA']	['https://www.encodeproject.org/files/ENCFF089JHA/@@download/ENCFF089JHA.bam']	['f339c2134b68603f99e87f0fe53d191a']	[{}]
NNNN	DNase-seq	ENCSR690CVL	['ENCFF533KFD', 'ENCFF197XRF', 'ENCFF926AKF', 'ENCFF859APD']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF030QSS']	['https://www.encodeproject.org/files/ENCFF030QSS/@@download/ENCFF030QSS.bed.gz']	['811eff125172217574f318cb8c0a2c1f']	[{}]	['ENCFF438ZFY']	['https://www.encodeproject.org/files/ENCFF438ZFY/@@download/ENCFF438ZFY.bam']	['da9480bc79ffd1dd5a5f03d7ed7e1de3']	[{}]	['ENCFF002OZQ']	['https://www.encodeproject.org/files/ENCFF002OZQ/@@download/ENCFF002OZQ.bam']	['12eefc2841a4809bdcabb377910e731f']	[{}]
NNNN	DNase-seq	ENCSR511PFY	['ENCFF160IZW', 'ENCFF842IUG', 'ENCFF777YJO', 'ENCFF021NMU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF191OZX']	['https://www.encodeproject.org/files/ENCFF191OZX/@@download/ENCFF191OZX.bed.gz']	['1aa3f64a5f45f38a2d3bb54ab104e5c6']	[{}]	['ENCFF500LQW']	['https://www.encodeproject.org/files/ENCFF500LQW/@@download/ENCFF500LQW.bam']	['3a93d3187129816c9d70769857f0cc54']	[{}]	['ENCFF832SMZ']	['https://www.encodeproject.org/files/ENCFF832SMZ/@@download/ENCFF832SMZ.bam']	['46ab5ebcb73055395e52329bc7613caa']	[{}]
NNNN	DNase-seq	ENCSR955RQG	['ENCFF825KKP', 'ENCFF826VXI', 'ENCFF427REQ', 'ENCFF051SJJ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF818CZA']	['https://www.encodeproject.org/files/ENCFF818CZA/@@download/ENCFF818CZA.bed.gz']	['692203906a359e3320c6af74c7830b7f']	[{}]	['ENCFF010ZNQ']	['https://www.encodeproject.org/files/ENCFF010ZNQ/@@download/ENCFF010ZNQ.bam']	['521f64d2940ea9beeaba4a417fedda3f']	[{}]	['ENCFF302VDY']	['https://www.encodeproject.org/files/ENCFF302VDY/@@download/ENCFF302VDY.bam']	['8d22510d213457677cb7e28248c34f25']	[{}]
NNNN	DNase-seq	ENCSR042DVU	['ENCFF703RTZ', 'ENCFF299YYS', 'ENCFF802FZJ', 'ENCFF007OIQ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF988WLS']	['https://www.encodeproject.org/files/ENCFF988WLS/@@download/ENCFF988WLS.bed.gz']	['a812dd43ddb1fcb6f7c97e87c6aca0bb']	[{}]	['ENCFF548UIU']	['https://www.encodeproject.org/files/ENCFF548UIU/@@download/ENCFF548UIU.bam']	['84a6bbf74f40052946e90cd530144629']	[{}]	['ENCFF605RHF']	['https://www.encodeproject.org/files/ENCFF605RHF/@@download/ENCFF605RHF.bam']	['1723da08f9250e4e2102b7dee0f23776']	[{}]
NNNN	DNase-seq	ENCSR433NEX	['ENCFF354NGS', 'ENCFF437VDY', 'ENCFF512ZHV', 'ENCFF589HAO']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF085RUK']	['https://www.encodeproject.org/files/ENCFF085RUK/@@download/ENCFF085RUK.bed.gz']	['15725426cd10e776a84ed75766f653ed']	[{}]	['ENCFF489IJY']	['https://www.encodeproject.org/files/ENCFF489IJY/@@download/ENCFF489IJY.bam']	['b02283dd48e9e03d53de058d13de9185']	[{}]	['ENCFF056OQQ']	['https://www.encodeproject.org/files/ENCFF056OQQ/@@download/ENCFF056OQQ.bam']	['c1d16e07eb07a4037f3434ed73e9c568']	[{}]
NNNN	DNase-seq	ENCSR994KTY	['ENCFF897ELA', 'ENCFF977DSD', 'ENCFF224OVA', 'ENCFF785UZF', 'ENCFF437GAC', 'ENCFF651ZPB']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF769AMF']	['https://www.encodeproject.org/files/ENCFF769AMF/@@download/ENCFF769AMF.bed.gz']	['0ba5ebbfe911d5d7b54feaa6c5182e56']	[{}]	['ENCFF894ICA']	['https://www.encodeproject.org/files/ENCFF894ICA/@@download/ENCFF894ICA.bam']	['f37116fc632d0f0f4d9f8ccb70c125a3']	[{}]	['ENCFF018RLE']	['https://www.encodeproject.org/files/ENCFF018RLE/@@download/ENCFF018RLE.bam']	['33a4148d04e25c2b248a25703503ffd6']	[{}]
NNNN	DNase-seq	ENCSR970DQR	['ENCFF436ZMZ', 'ENCFF296FWD', 'ENCFF772OPV', 'ENCFF932CHK', 'ENCFF728MPK', 'ENCFF515FJZ', 'ENCFF652AKQ', 'ENCFF846HIT']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF429PXE']	['https://www.encodeproject.org/files/ENCFF429PXE/@@download/ENCFF429PXE.bed.gz']	['b5c45f5105517b46f976ace29b123548']	[{}]	['ENCFF469BPT', 'ENCFF082QHJ']	['https://www.encodeproject.org/files/ENCFF469BPT/@@download/ENCFF469BPT.bam', 'https://www.encodeproject.org/files/ENCFF082QHJ/@@download/ENCFF082QHJ.bam']	['c2e9dcf069e4876d1aa0e911aa3f081a', '07d2760fca4984a3302ce12f3c57be09']	[{}, {}]	['ENCFF098QWQ', 'ENCFF099TKH']	['https://www.encodeproject.org/files/ENCFF098QWQ/@@download/ENCFF098QWQ.bam', 'https://www.encodeproject.org/files/ENCFF099TKH/@@download/ENCFF099TKH.bam']	['20c55e10364562b0a55ff8c44dc28989', '759a6217293c840236c021ce49eb9a26']	[{}, {}]
NNNN	DNase-seq	ENCSR885WWJ	['ENCFF799WPU', 'ENCFF706LWA', 'ENCFF721ASA', 'ENCFF380PHJ', 'ENCFF608HYI', 'ENCFF484PEC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF602QED']	['https://www.encodeproject.org/files/ENCFF602QED/@@download/ENCFF602QED.bed.gz']	['aab91c0a25881caef966ebfb6091e907']	[{}]	['ENCFF809INQ']	['https://www.encodeproject.org/files/ENCFF809INQ/@@download/ENCFF809INQ.bam']	['ec46b302e5ce1209d42c94181171c82c']	[{}]	['ENCFF593AXC']	['https://www.encodeproject.org/files/ENCFF593AXC/@@download/ENCFF593AXC.bam']	['48820280a4435d581feff9760963c020']	[{}]
NNNN	DNase-seq	ENCSR355PNF	['ENCFF156GCW', 'ENCFF207YKN', 'ENCFF958OWN', 'ENCFF577LIB']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF187DOW']	['https://www.encodeproject.org/files/ENCFF187DOW/@@download/ENCFF187DOW.bed.gz']	['d5aaf6b7746e5c014811b0883f4f8d95']	[{}]	['ENCFF121ZHK']	['https://www.encodeproject.org/files/ENCFF121ZHK/@@download/ENCFF121ZHK.bam']	['f6449bec3114cbda329b84826472c8ec']	[{}]	['ENCFF885XPI']	['https://www.encodeproject.org/files/ENCFF885XPI/@@download/ENCFF885XPI.bam']	['441af2a67739efe4f3c7939be1d0e015']	[{}]
NNNN	DNase-seq	ENCSR637ZLM	['ENCFF229UUG', 'ENCFF740AAL', 'ENCFF931JGP', 'ENCFF563UJI']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF922ZXC']	['https://www.encodeproject.org/files/ENCFF922ZXC/@@download/ENCFF922ZXC.bed.gz']	['b37f274f32feeb87f8bbf0f959a147d0']	[{}]	['ENCFF851JVV']	['https://www.encodeproject.org/files/ENCFF851JVV/@@download/ENCFF851JVV.bam']	['790df42a510dbfe3cbe1cffcc0712ed6']	[{}]	['ENCFF561NEE']	['https://www.encodeproject.org/files/ENCFF561NEE/@@download/ENCFF561NEE.bam']	['66329bfb9307d35788a4a768aeeedf68']	[{}]
NNNN	DNase-seq	ENCSR002IHL	['ENCFF882VMA', 'ENCFF712UXR', 'ENCFF434DXV', 'ENCFF466EPW', 'ENCFF932LUU', 'ENCFF079LQW']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF822HOO']	['https://www.encodeproject.org/files/ENCFF822HOO/@@download/ENCFF822HOO.bed.gz']	['13ed13a15deac062ca8de99161972d96']	[{}]	['ENCFF094RAB']	['https://www.encodeproject.org/files/ENCFF094RAB/@@download/ENCFF094RAB.bam']	['52da70b5ce36dd6f9002e4d0af58dcce']	[{}]	['ENCFF582DHJ']	['https://www.encodeproject.org/files/ENCFF582DHJ/@@download/ENCFF582DHJ.bam']	['db23fc1d69aeb44195a9dde3c3892ee0']	[{}]
NNNN	DNase-seq	ENCSR400MOP	['ENCFF557AOB', 'ENCFF712NPC', 'ENCFF508VVP', 'ENCFF263CVB']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF149HYM']	['https://www.encodeproject.org/files/ENCFF149HYM/@@download/ENCFF149HYM.bed.gz']	['58277cd1c144dcb324cc83f02788fb38']	[{}]	['ENCFF708QWX']	['https://www.encodeproject.org/files/ENCFF708QWX/@@download/ENCFF708QWX.bam']	['017a2234c728bb0e6e8fc3b7fe83e3d5']	[{}]	['ENCFF079GEP']	['https://www.encodeproject.org/files/ENCFF079GEP/@@download/ENCFF079GEP.bam']	['656c957772697c2f4f7f0ee87014a85b']	[{}]
NNNN	DNase-seq	ENCSR635GDW	['ENCFF125JSC', 'ENCFF216IBV', 'ENCFF246IJC', 'ENCFF060BMQ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF692HIA']	['https://www.encodeproject.org/files/ENCFF692HIA/@@download/ENCFF692HIA.bed.gz']	['751f9ef4b04b96f503d3fb00e11c58c3']	[{}]	['ENCFF669ITY']	['https://www.encodeproject.org/files/ENCFF669ITY/@@download/ENCFF669ITY.bam']	['13c0672b441f3317d807d59ff63316e6']	[{}]	['ENCFF468EIE']	['https://www.encodeproject.org/files/ENCFF468EIE/@@download/ENCFF468EIE.bam']	['d34f8841199ecdb74c32e099714051c5']	[{}]
NNNN	DNase-seq	ENCSR373TLU	['ENCFF232KJW', 'ENCFF800JVU', 'ENCFF283PCF', 'ENCFF612IVI', 'ENCFF782OJZ', 'ENCFF583JHZ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF245WUR']	['https://www.encodeproject.org/files/ENCFF245WUR/@@download/ENCFF245WUR.bed.gz']	['01cff26d6118c51146b0b917c7452f64']	[{}]	['ENCFF144QGO']	['https://www.encodeproject.org/files/ENCFF144QGO/@@download/ENCFF144QGO.bam']	['7e83d5f34f3de57e56bf17d8a0d60b7e']	[{}]	['ENCFF328OIF']	['https://www.encodeproject.org/files/ENCFF328OIF/@@download/ENCFF328OIF.bam']	['159730e84e94fa1a38f647ddb15f98d4']	[{}]
NNNN	DNase-seq	ENCSR297WRG	['ENCFF013ORT', 'ENCFF176HAM', 'ENCFF460MVF', 'ENCFF356XGW', 'ENCFF750YIH', 'ENCFF018EAP']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF491FEU']	['https://www.encodeproject.org/files/ENCFF491FEU/@@download/ENCFF491FEU.bed.gz']	['959322e5e422b356c9188e619aa2d9bd']	[{}]	['ENCFF570GJG']	['https://www.encodeproject.org/files/ENCFF570GJG/@@download/ENCFF570GJG.bam']	['96add2f0da72138f39c51411579d4560']	[{}]	['ENCFF518BWN']	['https://www.encodeproject.org/files/ENCFF518BWN/@@download/ENCFF518BWN.bam']	['fcbd24e8dc27033fe8540775787714ea']	[{}]
NNNN	DNase-seq	ENCSR274FZD	['ENCFF484LFR', 'ENCFF914GGC', 'ENCFF448LUV', 'ENCFF446UNY']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF601IBY']	['https://www.encodeproject.org/files/ENCFF601IBY/@@download/ENCFF601IBY.bed.gz']	['60149ae6d2dc0fa2645cef26fc3c55dd']	[{}]	['ENCFF820MGG']	['https://www.encodeproject.org/files/ENCFF820MGG/@@download/ENCFF820MGG.bam']	['5798369fae52575f42aefa6deb352c77']	[{}]	['ENCFF773CBJ']	['https://www.encodeproject.org/files/ENCFF773CBJ/@@download/ENCFF773CBJ.bam']	['6758caa45b8e1300869a174602ba3166']	[{}]
NNNN	DNase-seq	ENCSR802NBC	['ENCFF869GQY', 'ENCFF894FCI', 'ENCFF710JVN', 'ENCFF636WJJ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF510VDM']	['https://www.encodeproject.org/files/ENCFF510VDM/@@download/ENCFF510VDM.bed.gz']	['4cf8dfb69c7669601dfd199a55dbb574']	[{}]	['ENCFF984VMK']	['https://www.encodeproject.org/files/ENCFF984VMK/@@download/ENCFF984VMK.bam']	['4cf0a32fb30cd394606cf0eb3db0049c']	[{}]	['ENCFF334PXE']	['https://www.encodeproject.org/files/ENCFF334PXE/@@download/ENCFF334PXE.bam']	['432ee00e467f376392ec703aa68d3416']	[{}]
NNNN	DNase-seq	ENCSR010SZN	['ENCFF996DBS', 'ENCFF582FAU', 'ENCFF874ALV', 'ENCFF614TJC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF361PSA']	['https://www.encodeproject.org/files/ENCFF361PSA/@@download/ENCFF361PSA.bed.gz']	['c05a04c0735809a4b5295b2917f30312']	[{}]	['ENCFF952GEE']	['https://www.encodeproject.org/files/ENCFF952GEE/@@download/ENCFF952GEE.bam']	['ad043361d7e6d0f1e96ff59070018aef']	[{}]	['ENCFF222PSK']	['https://www.encodeproject.org/files/ENCFF222PSK/@@download/ENCFF222PSK.bam']	['d5502b8701355821e0cb89c2e3fef2bb']	[{}]
